,id,city_name,Humidity,Longitud,Latitud,Temperatura,Nubes,Velocidad
90,3115824,Muros,94,-9.0603,42.7762,40.44,9,8.66
91,4920986,Griffith,76,-87.4237,41.5284,50.59,1,4.61
92,6165406,Thompson,59,-97.8558,55.7435,26.6,40,6.89
93,2165478,Gladstone,78,151.25,-23.85,71.6,75,14.97
94,3393536,Olinda,88,-34.8553,-8.0089,73.4,40,5.75
95,5847411,Kahului,69,-156.47,20.8947,73.69,40,16.11
96,964432,Port Alfred,68,26.891,-33.5906,62.35,97,13.35
97,3430443,Necochea,84,-58.7368,-38.5473,57.0,39,8.99
98,2618795,Klaksvík,80,-6.589,62.2266,35.6,90,3.44
99,5861897,Fairbanks,81,-147.7164,64.8378,38.8,75,11.5
100,6050066,La Ronge,44,-105.2842,55.1001,34.7,18,3.44
101,2163355,Hobart,55,147.3294,-42.8794,65.91,20,5.75
102,3919703,Comarapa,94,-64.4833,-17.9,48.96,41,0.96
103,2112309,Katsuura,56,140.3,35.1333,73.45,20,14.97
104,547677,Kletskaya,82,43.0584,49.3145,45.0,11,1.99
105,3442568,Fray Bentos,89,-58.2956,-33.1325,55.99,0,1.99
106,1489499,Togur,70,82.8265,58.3631,44.01,91,15.05
107,64814,Bandarbeyla,72,50.8122,9.4942,83.05,16,4.18
108,3831208,Qaanaaq,60,-69.3632,77.484,25.0,100,10.6
109,3412093,Vestmannaeyjar,76,-20.2734,63.4427,43.14,96,6.71
110,5546220,Saint George,17,-113.5841,37.1041,74.84,1,3.13
111,2639912,Preston,85,-2.7167,53.7667,34.84,10,1.01
112,2522325,Agüimes,82,-15.4461,27.9054,64.15,75,1.14
113,2180815,Tuatapere,75,167.6833,-46.1333,53.01,61,14.0
114,3388847,São Félix do Xingu,98,-51.995,-6.6447,70.63,87,1.5
115,3374210,São Filipe,76,-24.4956,14.8961,72.5,64,7.74
116,5855927,Hilo,61,-155.09,19.7297,73.83,90,6.91
117,2446796,Bilma,8,12.9164,18.6853,81.41,0,7.47
118,6167817,Torbay,93,-52.7314,47.6666,35.26,1,9.22
119,3587498,Acajutla,88,-89.8275,13.5928,72.0,5,1.01
120,1855540,Naze,53,129.4833,28.3667,77.0,20,14.97
121,935215,Saint-Philippe,83,55.7679,-21.3585,74.44,75,10.36
122,2209055,Waddān,7,16.139,29.1614,80.53,50,8.03
